time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.006247,10.4365,2.9803,2.4055,11.117
3.008479,8.1287,-2.5964,13.1145,15.646
3.016582,-2.8301,-6.3812,14.1095,15.742
3.017005,-5.0023,-5.2059,5.7469,9.228
3.024803,0.5972,0.6057,-0.7617,1.142
3.029024,-5.6781,-4.7866,3.304,8.128
3.033749,-7.618,-4.1438,-1.0524,8.736
3.037432,-2.365,-0.6831,-5.3379,5.878
3.041741,-5.4503,1.3574,-27.7501,28.313
3.050142,-5.81,4.0508,10.1012,12.337
3.054017,1.6199,0.7413,12.7637,12.887
3.058697,11.2277,1.4976,3.4797,11.85
3.062637,14.9369,2.1537,6.9045,16.596
3.067338,7.1676,-1.4031,-4.1217,8.386
3.075421,-7.9306,-5.8454,2.8612,10.259
3.07995,-1.8697,-0.3718,0.059,1.907
3.083823,-7.2494,-3.7459,-3.7089,8.963
3.088104,-25.1063,-6.1442,12.2209,28.591
3.092427,-5.6199,-2.1056,-16.3667,17.432
3.098824,4.4322,-2.9636,-6.123,8.119
3.107022,4.1534,6.7194,3.6932,8.72
3.10906,14.9445,7.17,16.7034,23.532
3.113728,13.4452,0.1884,2.0558,13.603
3.118151,9.3536,-3.4476,-11.6679,15.347
3.121706,4.6483,-1.3969,-15.1696,15.927
3.130391,-2.833,4.6549,-4.4189,7.016
3.134136,-49.4168,-7.9798,42.2938,65.532
3.139,-17.772,1.1189,-8.8504,19.885
3.143014,-7.5606,2.6519,-14.3244,16.413
3.147371,0.6143,-0.1345,-10.041,10.061
3.151404,10.6303,3.4307,9.0184,14.356
3.160137,16.1514,6.8357,14.7313,22.904
3.164417,16.0936,0.2389,-6.6759,17.425
3.168657,9.0105,-0.6597,-9.4361,13.064
3.172271,8.5844,-0.396,-3.8027,9.397
3.17623,3.6475,0.8901,-5.4803,6.643
3.185711,-16.8632,-2.1743,18.1936,24.902
3.190589,-12.0083,-0.518,4.3778,12.792
3.19349,-1.4314,2.8701,-11.2801,11.727
3.200174,-3.7354,-1.8018,-9.5019,10.368
3.202667,-2.4987,-5.3888,14.4908,15.661
3.210396,2.7367,-0.6046,15.5898,15.84
3.214199,12.5081,3.5803,6.4154,14.506
3.218888,9.1011,-1.01,10.0468,13.594
3.223142,1.8386,2.2927,2.0697,3.595
3.227226,0.8011,1.022,-11.6069,11.679
3.231768,4.692,-2.2706,-12.711,13.738
3.240238,-2.5263,-0.5388,-21.2664,21.423
3.244397,-10.1153,5.7246,-6.7445,13.438
3.248536,-9.1068,0.9759,2.7871,9.574
3.2521,0.8109,-0.7356,0.669,1.283
3.256347,8.3748,-2.5281,9.6813,13.048
3.265542,7.4622,-1.3527,22.3244,23.577
3.269297,9.1523,-3.0214,20.0168,22.216
3.273758,-12.9888,-8.7806,10.14,18.672
3.277796,-13.736,-2.9256,-12.4622,18.776
3.282009,-5.5093,1.0527,-22.2577,22.954
3.290405,3.2409,3.3067,-10.8845,11.828
3.294733,7.628,1.591,-6.0423,9.86
3.298895,8.9588,0.3413,-12.3462,15.258
3.302811,6.9118,2.8113,-6.5693,9.941
3.307366,3.7151,4.5623,4.1854,7.22
3.311592,-14.8655,-1.5334,20.0576,25.013
3.32007,-12.1057,-8.5909,19.6769,24.648
3.324144,5.216,-3.0456,-3.7933,7.132
3.328253,8.9142,1.0404,-5.2783,10.412
3.332125,5.7914,-0.7582,-4.8937,7.62
3.336317,-1.2064,-3.6014,-2.0144,4.299
3.345222,-3.979,-0.4468,1.6671,4.337
3.349561,-12.4756,-3.1263,-1.2588,12.923
3.353646,-1.0965,-1.8115,-11.0275,11.229
3.357865,-2.6197,3.1462,-16.6225,17.119
3.362016,-0.154,4.4906,18.5157,19.053
3.37118,11.4997,-1.3846,40.2649,41.898
3.37449,11.3113,-1.8504,4.5875,12.346
