time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.007602,-7.2983,1.2634,0.6933,7.439
4.01294,-0.0923,-0.7473,-9.6228,9.652
4.019226,0.9384,-0.4278,-16.007,16.04
4.020469,6.7466,-1.6887,-6.118,9.263
4.029493,2.5648,0.1898,-4.1897,4.916
4.033146,4.4985,-1.5581,-12.2943,13.184
4.037386,1.791,1.5942,-9.4321,9.732
4.041289,-0.3961,4.4984,1.0631,4.639
4.046256,-3.0771,-3.0278,15.5168,16.106
4.050174,-5.2973,-5.8798,23.0945,24.413
4.054314,5.255,-4.4043,5.806,8.985
4.062858,8.5412,-1.9298,-11.8929,14.769
4.067886,3.104,0.3199,-6.594,7.295
4.071085,3.3371,-3.1739,0.3827,4.621
4.075797,-1.2338,-0.6639,1.4488,2.015
4.079791,-9.6481,1.0996,-2.775,10.099
4.08794,-4.4072,0.0496,9.3255,10.315
4.092987,3.0251,-0.6768,3.2578,4.497
4.096746,3.4981,3.378,-7.9195,9.293
4.101843,3.6761,3.0252,-8.5401,9.777
4.10511,3.0489,1.3428,-3.8741,5.11
4.11346,5.6265,0.9841,-2.9104,6.411
4.118791,4.5139,0.7406,1.1238,4.71
4.121779,-8.5363,2.4387,-11.6471,14.645
4.129608,-7.8277,1.476,13.2328,15.445
4.130132,3.4863,-4.3706,14.112,15.179
4.134183,6.3308,-4.3242,9.006,11.827
4.143019,2.0977,-0.7352,5.5978,6.023
4.147055,-5.2449,-6.9794,0.7133,8.76
4.15138,-0.4899,-2.8008,-4.9477,5.707
4.15539,-6.3231,3.6841,-25.1142,26.159
4.159576,-5.0182,5.5978,-13.6022,15.542
4.167995,6.4591,0.2812,2.0484,6.782
4.172359,5.836,0.4944,-2.8115,6.497
4.176801,7.2661,2.5624,-0.087,7.705
4.180943,8.2443,-1.9191,5.2756,9.974
4.185115,-3.2419,-6.0717,11.8234,13.681
4.189475,-7.078,0.2293,11.8709,13.823
4.197728,-0.6456,-0.083,7.0244,7.055
4.201478,-3.156,-4.7249,-7.8091,9.657
4.206479,-2.3906,-4.672,-2.9326,6.012
4.210472,-1.5207,3.5438,-12.3951,12.981
4.215588,-5.0412,8.2386,-11.5174,15.031
4.223244,1.9508,2.2261,-2.1026,3.631
4.227521,6.6965,-2.8925,6.138,9.533
4.231321,6.4845,-2.9246,12.5699,14.443
4.235684,5.2132,-1.999,7.0425,8.987
4.240101,-2.0944,2.1496,-2.0791,3.651
4.247706,-9.7214,0.8606,-2.3845,10.047
4.252745,-10.2831,-3.442,2.8025,11.2
4.257247,0.4626,3.0045,-6.2991,6.994
4.261037,5.212,0.9671,-5.7984,7.856
4.265833,7.4456,0.3511,-4.7618,8.845
4.269801,6.4446,1.6863,-4.7017,8.154
4.278072,-7.9352,-4.6444,19.5342,21.59
4.282864,-12.9638,-4.7256,26.0422,29.472
4.287188,-3.6349,-2.6208,-4.6779,6.478
4.291163,2.9073,0.4329,-12.193,12.542
4.294905,6.568,0.3823,-9.4249,11.494
4.304288,-0.6307,8.5455,-25.8674,27.25
4.308053,3.9151,9.4464,8.8303,13.511
4.311943,7.8655,0.9304,6.0538,9.969
4.316484,-8.6535,-1.5976,9.6421,13.054
4.321178,-14.9504,2.3792,13.2731,20.133
4.328428,-7.5242,1.4364,7.3008,10.582
4.333027,0.0269,-1.0144,4.693,4.801
4.338396,3.7179,-1.6421,3.729,5.516
4.340935,3.3086,-1.2582,-5.1719,6.267
4.345039,5.5344,-3.145,-14.9665,16.264
4.349365,2.8768,-2.3052,-10.029,10.685
4.357904,-0.5313,-2.4548,-3.1571,4.034
4.361585,0.6499,-2.2712,-2.8431,3.696
4.366391,-0.1553,-2.6495,-6.4481,6.973
4.370345,1.9137,-4.2186,-2.114,5.092
4.374957,3.2632,-4.8444,13.8843,15.063
4.383282,0.2062,3.6683,21.1671,21.484
4.387897,-1.5287,5.6873,-27.7594,28.377
4.391976,2.3384,1.6323,12.288,12.615
4.396086,2.492,0.5044,-0.581,2.608
4.399818,-2.3365,2.9853,-4.4203,5.823
4.404087,-4.2656,-1.667,-1.5085,4.822
4.41296,0.9838,3.967,4.4432,6.037
4.420204,0.4308,-1.3941,0.7844,1.657
4.421081,-3.5158,-2.7329,-6.8063,8.134
4.426155,0.8048,-5.0004,-6.8734,8.538
4.431191,-2.7476,0.2847,-2.1936,3.527
4.437592,-4.4535,1.6126,-12.5322,13.397
4.441509,-0.8988,-2.5705,-0.2482,2.734
4.446407,7.4763,0.6201,14.5883,16.404
4.450364,8.7795,3.4709,14.8567,17.602
4.454855,6.4575,1.2587,-9.02,11.164
4.463298,-3.7671,4.4796,-15.8799,16.924
4.468138,-7.5347,3.0499,3.9133,9.021
4.471672,-0.2335,0.8395,2.2877,2.448
4.476247,0.5528,-2.4704,3.5243,4.339
4.47996,-1.0724,-4.3953,8.0079,9.198
4.483848,0.9447,-4.8985,4.1209,6.471
4.493197,-4.4583,-7.7974,4.4622,10.029
4.497306,-5.0221,-0.1741,4.4205,6.693
4.501401,0.5601,3.9376,-8.8234,9.678
4.505524,-0.1364,4.5494,-15.188,15.855
4.509787,5.4419,-1.9038,-0.7883,5.819
4.520715,-2.0639,0.3186,-0.2401,2.102
4.522894,8.1429,1.3018,-4.8723,9.578
4.53135,4.1165,0.0629,0.7227,4.18
4.531878,-3.7325,1.2579,3.1476,5.042
4.534678,-5.7027,-1.807,13.5086,14.774
