time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001994,-0.1767,-0.3512,0.5899,0.709
0.003172,-0.2402,-0.1989,0.3288,0.453
0.007140,0.3074,-0.1830,-0.1093,0.374
0.011390,0.4282,-0.0992,-0.3603,0.568
0.015898,-0.1554,-0.1747,-0.3449,0.417
0.020033,-0.2585,-0.2713,-0.0781,0.383
0.024326,0.1702,-0.1963,0.2790,0.381
0.032965,0.6911,-0.2221,0.6000,0.942
0.036933,0.1492,-0.0541,0.5139,0.538
0.041971,-0.3103,-0.0737,0.1710,0.362
0.045288,-0.0012,-0.0751,-0.0987,0.124
0.049639,0.4011,-0.1844,-0.1680,0.472
0.058099,0.0376,-0.3611,-0.0267,0.364
0.062094,-0.6850,-0.4116,0.1039,0.806
0.066917,-0.1938,-0.0072,0.2064,0.283
0.070615,0.1175,0.1249,0.4572,0.488
0.075151,0.2797,-0.0714,0.7244,0.780
0.083857,-0.3173,-0.4816,0.6535,0.872
0.087458,-0.4331,-0.1311,0.2044,0.497
0.095559,0.2195,0.0863,-0.1194,0.264
0.096032,0.3975,0.3435,-0.0623,0.529
0.100721,-0.1096,0.3468,0.3476,0.503
0.104501,-0.5843,0.2496,0.6974,0.943
0.112742,-0.0484,0.2390,0.7542,0.793
0.116955,0.5058,0.0629,0.6909,0.859
0.121604,-0.0450,-0.0135,0.5274,0.529
0.125564,-0.3806,-0.0622,0.4558,0.597
0.129613,-0.0372,0.0094,0.3391,0.341
0.138727,0.2061,-0.0072,0.2157,0.298
0.142066,-0.0017,0.1245,-0.0067,0.125
0.146728,-0.5961,-0.0747,-0.0968,0.609
0.150625,-0.3105,-0.1788,-0.1057,0.374
0.155941,-0.0645,-0.1627,-0.1057,0.204
0.159118,-0.1838,-0.0822,0.1054,0.227
0.167739,-0.3028,-0.4654,0.2828,0.623
0.171712,-0.1823,-0.5204,0.3179,0.636
0.176052,-0.1397,-0.5006,0.1067,0.531
0.180083,-0.1336,-0.2841,-0.0092,0.314
0.187800,-0.0870,-0.1427,0.0336,0.170
0.193432,-0.1012,-0.2314,0.1248,0.282
0.197130,0.3534,-0.0140,0.2138,0.413
0.201270,-0.0977,-0.3249,0.1570,0.374
0.205302,0.1810,-0.3168,0.0833,0.374
0.209532,-0.0620,-0.3673,0.0886,0.383
0.218228,0.0895,-0.1582,0.1717,0.250
0.222524,0.1729,0.0909,0.3343,0.387
0.226489,0.1096,-0.0493,0.2840,0.308
0.231002,-0.0424,-0.1492,0.1459,0.213
