time,gFx,gFy,gFz,TgF
0.004427,0.5294,-0.0132,0.8551,1.006
0.004572,0.5269,-0.0283,0.8717,1.019
0.004667,0.5240,-0.0293,0.8751,1.020
0.004757,0.5206,-0.0298,0.8761,1.019
0.005130,0.5181,-0.0293,0.8770,1.019
0.008188,0.5167,-0.0278,0.8790,1.020
0.008818,0.5181,-0.0239,0.8770,1.019
0.011448,0.5206,-0.0210,0.8780,1.021
0.014078,0.5235,-0.0161,0.8746,1.019
0.016222,0.5274,-0.0117,0.8722,1.019
0.017607,0.5313,-0.0068,0.8692,1.019
0.019577,0.5352,-0.0015,0.8663,1.018
0.021743,0.5367,0.0034,0.8619,1.015
0.023799,0.5352,0.0059,0.8585,1.012
0.025952,0.5337,0.0093,0.8556,1.008
0.028026,0.5328,0.0137,0.8512,1.004
0.031581,0.5313,0.0161,0.8477,1.001
0.033145,0.5298,0.0186,0.8438,0.997
0.034635,0.5279,0.0200,0.8390,0.991
0.036473,0.5289,0.0220,0.8365,0.990
0.039291,0.5308,0.0230,0.8350,0.990
0.040733,0.5337,0.0234,0.8336,0.990
0.043240,0.5362,0.0230,0.8292,0.988
0.044890,0.5372,0.0215,0.8267,0.986
0.046827,0.5391,0.0205,0.8258,0.986
0.049015,0.5396,0.0171,0.8258,0.987
0.051063,0.5396,0.0132,0.8263,0.987
0.053132,0.5391,0.0088,0.8263,0.987
0.055757,0.5377,0.0049,0.8263,0.986
0.057508,0.5367,0.0005,0.8272,0.986
0.060354,0.5347,-0.0049,0.8302,0.987
0.062245,0.5328,-0.0088,0.8341,0.990
0.066479,0.5313,-0.0127,0.8385,0.993
0.066780,0.5318,-0.0151,0.8438,0.998
0.068288,0.5333,-0.0190,0.8468,1.001
0.071298,0.5347,-0.0210,0.8497,1.004
0.073125,0.5352,-0.0220,0.8531,1.007
0.074534,0.5357,-0.0225,0.8575,1.011
0.076930,0.5367,-0.0230,0.8585,1.013
0.079210,0.5352,-0.0234,0.8590,1.012
0.081014,0.5333,-0.0220,0.8624,1.014
0.083257,0.5318,-0.0205,0.8624,1.013
0.085023,0.5303,-0.0181,0.8609,1.011
0.086741,0.5298,-0.0151,0.8624,1.012
0.090899,0.5274,-0.0127,0.8629,1.011
0.091622,0.5259,-0.0088,0.8624,1.010
0.094025,0.5250,-0.0054,0.8614,1.009
0.096154,0.5250,-0.0024,0.8619,1.009
0.097853,0.5245,0.0005,0.8629,1.010
0.100004,0.5250,0.0024,0.8624,1.010
0.102189,0.5240,0.0029,0.8634,1.010
0.104498,0.5250,0.0049,0.8619,1.009
0.106256,0.5254,0.0054,0.8629,1.010
0.108566,0.5264,0.0063,0.8619,1.010
0.110839,0.5269,0.0073,0.8595,1.008
0.113249,0.5279,0.0088,0.8570,1.007
0.114752,0.5284,0.0103,0.8536,1.004
0.116743,0.5284,0.0122,0.8512,1.002
0.119112,0.5294,0.0127,0.8473,0.999
0.121417,0.5313,0.0137,0.8433,0.997
0.123211,0.5318,0.0137,0.8394,0.994
0.125325,0.5333,0.0146,0.8360,0.992
0.127258,0.5323,0.0151,0.8331,0.989
0.129789,0.5313,0.0156,0.8297,0.985
0.131277,0.5323,0.0151,0.8258,0.983
0.133527,0.5313,0.0146,0.8233,0.980
0.135418,0.5303,0.0132,0.8214,0.978
0.138185,0.5284,0.0122,0.8199,0.975
0.140019,0.5279,0.0112,0.8194,0.975
0.142407,0.5259,0.0103,0.8219,0.976
0.144173,0.5269,0.0088,0.8243,0.978
0.146958,0.5269,0.0029,0.8258,0.980
0.149207,0.5250,-0.0107,0.8238,0.977
0.151298,0.5206,-0.0249,0.8258,0.976
0.152564,0.5176,-0.0303,0.8321,0.980
0.155488,0.5157,-0.0278,0.8404,0.986
0.158016,0.5137,-0.0244,0.8429,0.987
0.158879,0.5113,-0.0190,0.8453,0.988
0.160985,0.5103,-0.0137,0.8463,0.988
0.163547,0.5108,-0.0078,0.8482,0.990
0.166144,0.5118,-0.0015,0.8497,0.992
0.167417,0.5127,0.0039,0.8531,0.995
0.169281,0.5162,0.0078,0.8551,0.999
0.175789,0.5206,0.0098,0.8541,1.000
0.176084,0.5264,0.0103,0.8516,1.001
0.176214,0.5337,0.0127,0.8487,1.003
0.177723,0.5406,0.0146,0.8453,1.003
0.180190,0.5460,0.0171,0.8443,1.006
0.182345,0.5489,0.0220,0.8419,1.005
0.184923,0.5513,0.0264,0.8390,1.004
0.186533,0.5538,0.0308,0.8360,1.003
0.188957,0.5543,0.0337,0.8341,1.002
0.190465,0.5533,0.0361,0.8350,1.002
0.192767,0.5528,0.0386,0.8350,1.002
0.194633,0.5538,0.0376,0.8341,1.002
0.197009,0.5552,0.0386,0.8326,1.001
0.200037,0.5562,0.0386,0.8336,1.003
0.200977,0.5582,0.0371,0.8346,1.005
0.203188,0.5582,0.0313,0.8341,1.004
0.206031,0.5547,0.0210,0.8326,1.001
0.207037,0.5533,0.0117,0.8355,1.002
0.209085,0.5533,0.0093,0.8390,1.005
0.211294,0.5528,0.0078,0.8419,1.007
0.214472,0.5499,0.0063,0.8394,1.004
0.217421,0.5445,0.0029,0.8390,1.000
0.217736,0.5377,0.0010,0.8424,0.999
0.220022,0.5313,-0.0015,0.8453,0.998
0.222332,0.5254,-0.0044,0.8482,0.998
0.224229,0.5225,-0.0059,0.8507,0.998
0.226217,0.5225,-0.0068,0.8556,1.003
0.228291,0.5240,-0.0059,0.8590,1.006
0.232746,0.5274,-0.0044,0.8619,1.010
0.233447,0.5294,-0.0049,0.8658,1.015
0.234649,0.5303,-0.0059,0.8668,1.016
0.236717,0.5328,-0.0049,0.8712,1.021
0.239829,0.5362,-0.0029,0.8770,1.028
0.241603,0.5367,-0.0020,0.8809,1.032
0.243091,0.5357,-0.0010,0.8834,1.033
0.245211,0.5347,0.0015,0.8849,1.034
0.247474,0.5308,0.0029,0.8849,1.032
0.249111,0.5274,0.0034,0.8829,1.028
0.251513,0.5250,0.0044,0.8824,1.027
0.253600,0.5245,0.0068,0.8795,1.024
0.255672,0.5240,0.0083,0.8766,1.021
0.258465,0.5240,0.0103,0.8726,1.018
0.259828,0.5240,0.0127,0.8697,1.015
0.262064,0.5259,0.0161,0.8643,1.012
0.264140,0.5289,0.0195,0.8575,1.008
0.266438,0.5323,0.0220,0.8507,1.004
0.268354,0.5357,0.0254,0.8463,1.002
0.270581,0.5381,0.0269,0.8414,0.999
0.272623,0.5406,0.0273,0.8385,0.998
0.275099,0.5420,0.0283,0.8336,0.995
0.276763,0.5416,0.0273,0.8311,0.992
0.278939,0.5406,0.0264,0.8297,0.991
0.280955,0.5401,0.0244,0.8292,0.990
0.283242,0.5391,0.0210,0.8292,0.989
0.285258,0.5377,0.0176,0.8292,0.988
0.287162,0.5381,0.0146,0.8282,0.988
0.289227,0.5391,0.0117,0.8287,0.989
0.291633,0.5406,0.0093,0.8282,0.989
0.293352,0.5420,0.0068,0.8282,0.990
0.295514,0.5420,0.0039,0.8272,0.989
0.297567,0.5430,0.0015,0.8267,0.989
0.300082,0.5435,-0.0010,0.8277,0.990
0.302048,0.5416,-0.0044,0.8282,0.990
0.304693,0.5396,-0.0063,0.8292,0.989
0.306022,0.5381,-0.0083,0.8321,0.991
0.308858,0.5377,-0.0088,0.8355,0.994
0.310580,0.5381,-0.0093,0.8370,0.995
0.312808,0.5386,-0.0098,0.8390,0.997
0.314719,0.5411,-0.0088,0.8399,0.999
0.316792,0.5435,-0.0063,0.8404,1.001
0.318747,0.5440,-0.0039,0.8404,1.001
0.321834,0.5450,-0.0015,0.8424,1.003
0.323051,0.5469,0.0015,0.8424,1.004
0.325307,0.5479,0.0024,0.8419,1.004
0.327083,0.5469,0.0020,0.8429,1.005
