time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001593,0.7062,0.4494,0.1302,0.847
0.001854,0.4065,0.2905,0.0606,0.503
0.010212,0.1078,0.3381,0.0565,0.359
0.014699,-0.1776,0.2587,0.1261,0.338
0.019145,-0.4106,0.1869,0.0712,0.457
0.024086,-0.4494,0.0933,0.1614,0.487
0.027701,-0.3017,-0.0184,0.3579,0.469
0.035823,-0.0472,-0.0858,0.5868,0.595
0.039985,0.2247,-0.0445,0.7565,0.790
0.043958,0.2550,-0.1087,0.8115,0.858
0.049119,0.0957,-0.1920,0.7389,0.769
0.052963,-0.0660,-0.2632,0.6513,0.706
0.061431,-0.1342,-0.3093,0.6303,0.715
0.066344,-0.0977,-0.3136,0.6875,0.762
0.069675,-0.0294,-0.3639,0.7283,0.815
0.074633,0.0507,-0.3877,0.7328,0.831
0.078053,0.1011,-0.3724,0.7356,0.831
0.082781,0.1216,-0.3027,0.6958,0.768
0.090296,0.1619,-0.2043,0.6723,0.721
0.095454,0.1370,-0.1187,0.6204,0.646
0.100306,0.0587,-0.0323,0.5495,0.554
0.104164,-0.0146,0.0052,0.5055,0.506
0.108368,-0.0715,0.0473,0.4297,0.438
0.116193,-0.0879,0.0761,0.3585,0.377
0.120300,-0.0565,0.0675,0.2865,0.300
0.125816,-0.0188,0.0944,0.2218,0.242
0.128905,-0.0763,0.1219,0.1323,0.195
0.133941,-0.1585,0.1059,-0.0100,0.191
0.137337,-0.1612,0.1371,-0.1037,0.236
0.145623,-0.1491,0.1317,-0.2744,0.339
0.150640,-0.0658,0.0891,-0.4011,0.416
0.154124,0.0435,0.0671,-0.4669,0.474
0.158567,0.1389,0.0521,-0.5024,0.524
0.162148,0.1520,0.0274,-0.5560,0.577
0.170590,0.0701,-0.0143,-0.6442,0.648
0.179060,-0.0269,-0.0306,-0.7389,0.740
0.179483,-0.0399,-0.0019,-0.7764,0.777
0.183612,-0.0111,0.0244,-0.7669,0.767
0.187651,0.0348,0.0430,-0.7253,0.727
0.196217,0.0738,0.0656,-0.6667,0.674
0.200555,0.0633,0.0967,-0.6112,0.622
0.204438,0.0179,0.1208,-0.5648,0.578
0.209857,-0.0484,0.1266,-0.5135,0.531
0.212836,-0.0781,0.1250,-0.4663,0.489
0.217338,-0.0530,0.1196,-0.3901,0.411
0.225937,0.0008,0.1062,-0.3007,0.319
0.229794,0.0717,0.0874,-0.1799,0.212
0.234372,0.0842,0.0449,-0.0755,0.122
0.239265,0.0505,0.0099,0.0044,0.052
0.242417,-0.0021,-0.0209,0.0778,0.081
0.250925,-0.0545,-0.0362,0.1614,0.174
0.256511,-0.0976,-0.0575,0.2593,0.283
0.259711,-0.1051,-0.0540,0.3215,0.343
0.263577,-0.0824,-0.0515,0.3986,0.410
