time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.003366,-1.4548,-4.096,-1.6943,4.665
4.007363,0.4944,-1.8224,-6.1148,6.4
4.012114,-1.4281,3.1382,-0.2829,3.459
4.015992,2.4515,0.8001,7.9061,8.316
4.019948,2.6303,-2.0682,-3.5345,4.867
4.028786,1.7231,-1.6917,-2.0469,3.166
4.032692,2.1604,0.6216,-4.7167,5.225
4.036996,-6.0179,-1.317,-8.882,10.809
4.041032,-6.8343,-3.6188,2.4086,8.1
4.046058,8.0019,3.2828,4.7522,9.869
4.053542,4.4503,-1.6069,15.4477,16.156
4.057319,3.2944,-3.7986,11.1138,12.198
4.065082,-2.0891,-0.8109,-7.6441,7.966
4.067828,-4.3584,-0.8847,-10.0311,10.973
4.070716,-7.6033,-2.1902,-6.1626,10.029
4.074895,-0.1921,-4.4289,-2.9235,5.31
4.083369,-2.5064,-2.0448,1.0036,3.387
4.087576,-1.0603,3.1561,4.9672,5.98
4.091363,3.1224,-1.9392,3.3523,4.975
4.096064,-1.6798,-1.3944,-0.2753,2.2
4.100347,-6.3748,-3.1607,-4.4295,8.381
4.108771,4.2819,-0.8333,-12.1384,12.898
4.11291,1.2487,2.4471,-2.8085,3.929
4.117205,-2.05,0.0276,12.733,12.897
4.122402,-2.2627,-3.5202,9.9759,10.818
4.125245,4.4832,-4.6623,-7.6339,10.006
4.133312,5.0478,-2.5599,-9.9124,11.414
4.137474,0.4726,3.2217,4.6554,5.681
4.142602,-2.4334,1.9811,-0.1001,3.139
4.149023,-2.1514,-0.1405,2.1947,3.077
4.15092,-3.4393,-1.3225,12.2647,12.806
4.154861,-1.0385,-6.1811,0.5595,6.293
4.164193,2.9526,-4.8149,-6.9151,8.929
4.16755,-1.0058,1.4544,-13.1865,13.305
4.171349,-1.8155,1.4441,-7.5664,7.914
4.176111,-4.0179,1.3154,-0.1515,4.23
4.180427,0.5146,-1.3621,12.4342,12.519
4.188592,5.8371,-1.7642,10.1526,11.843
4.192676,-6.7096,-4.4382,6.7447,10.498
4.197531,3.7399,-0.3625,-6.2945,7.331
4.201552,2.9948,-1.4702,-15.0064,15.373
4.206084,-2.9579,2.8693,-2.2345,4.688
4.215148,-1.6938,0.7133,-4.4237,4.79
4.217814,-0.39,0.1918,-4.4509,4.472
