time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002609,-0.3641,-0.6623,1.7776,1.932
0.002882,0.0717,-0.3039,0.9675,1.017
0.006861,-0.0879,-0.0479,0.2412,0.261
0.015202,-0.3805,0.1223,-0.7191,0.823
0.015630,-0.4093,0.2607,-1.3038,1.391
0.023770,-0.2006,0.3315,-1.4994,1.549
0.028066,0.1647,0.4322,-1.6049,1.670
0.032171,0.3632,0.5109,-1.6807,1.794
0.036611,0.3328,0.5201,-1.4725,1.597
0.040858,0.1264,0.3322,-0.8846,0.953
0.044753,0.0346,0.0894,-0.2532,0.271
0.053516,-0.0151,-0.1234,0.3833,0.403
0.057004,-0.0186,-0.2618,0.9801,1.015
0.061584,-0.0250,-0.3210,1.2151,1.257
0.066091,-0.0661,-0.3639,1.2383,1.292
0.070402,-0.0894,-0.3821,1.1744,1.238
0.078737,-0.0171,-0.3511,0.9603,1.023
0.082866,0.0298,-0.2277,0.6449,0.685
0.087086,0.0072,-0.0817,0.2788,0.291
0.090958,-0.0220,0.0813,-0.1560,0.177
0.095621,-0.0333,0.2141,-0.5356,0.578
0.103911,-0.0126,0.2857,-0.8501,0.897
0.108408,0.0206,0.3091,-0.9927,1.040
0.112419,0.0288,0.3071,-0.9195,0.970
0.117935,0.0452,0.2400,-0.7139,0.755
0.121146,0.0521,0.1416,-0.4042,0.431
0.125602,0.0400,0.0013,-0.0909,0.099
0.134228,0.0381,-0.1197,0.1821,0.221
0.137121,0.0177,-0.1901,0.4536,0.492
0.146132,-0.0270,-0.2322,0.6279,0.670
0.146515,-0.0670,-0.2356,0.7153,0.756
0.150990,-0.0768,-0.2067,0.6944,0.729
0.159572,-0.0645,-0.1390,0.5522,0.573
0.162871,-0.0364,-0.0547,0.3003,0.307
0.167332,-0.0066,0.0505,0.0449,0.068
0.172644,0.0230,0.1270,-0.1809,0.222
0.178606,0.0609,0.1646,-0.3527,0.394
0.179882,0.0682,0.1735,-0.4905,0.525
0.188007,0.0568,0.1504,-0.5331,0.557
0.192312,0.0395,0.1187,-0.4861,0.502
0.196854,0.0165,0.0587,-0.3559,0.361
0.200937,-0.0159,-0.0088,-0.1725,0.173
0.204973,-0.0347,-0.0643,0.0316,0.080
0.213068,-0.0469,-0.1184,0.2175,0.252
0.217927,-0.0375,-0.1178,0.3563,0.377
0.221840,-0.0236,-0.1071,0.4288,0.443
0.226159,-0.0008,-0.0810,0.4250,0.433
0.230612,0.0127,-0.0562,0.3619,0.366
0.239009,0.0231,-0.0105,0.2369,0.238
0.243088,0.0209,0.0324,0.0662,0.077
0.247107,0.0265,0.0678,-0.0754,0.105
0.251318,0.0122,0.0810,-0.2087,0.224
