time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
3.000823,-8.6723,-1.1237,12.0423,14.882
3.005288,5.7218,2.3204,16.1852,17.323
3.00923,5.902,-0.8997,-1.2076,6.091
3.013617,4.0538,-0.3413,-2.6382,4.849
3.017647,0.8549,2.0459,-6.2997,6.679
3.025625,-5.0717,-0.9202,-15.6118,16.441
3.030207,-8.5135,-4.9217,-1.3096,9.921
3.034925,2.9286,0.1648,1.969,3.533
3.038992,2.3026,2.2078,16.8451,17.145
3.04344,0.9676,-2.8441,16.2866,16.561
3.051679,4.4777,-4.2378,-3.2378,6.964
3.055807,-2.6732,3.674,-18.4355,18.987
3.059715,0.7053,1.6934,-5.7646,6.049
3.064018,2.4962,-0.1481,-10.2748,10.575
3.068301,-1.8244,0.4438,-4.9385,5.283
3.076776,-11.1773,-3.3867,2.8299,12.017
3.08099,1.8644,3.9556,17.7975,18.327
3.085398,3.8275,-1.7755,8.4424,9.438
3.089706,1.9764,-5.3294,-0.1017,5.685
3.093657,-2.1423,-1.0006,7.2656,7.641
3.097627,-1.4025,2.7306,-7.4256,8.035
3.105809,4.5897,2.4149,-17.3817,18.139
3.109918,-3.0707,-4.0299,-2.5158,5.657
3.114854,-4.0277,-2.8932,4.338,6.589
3.119009,0.4842,0.2799,-2.2359,2.305
3.123452,4.1287,-0.9458,2.7376,5.043
3.131693,1.7549,0.0344,6.8541,7.075
3.135659,-1.7712,3.6488,-2.5074,4.768
3.140063,2.4942,-2.1536,-7.5556,8.243
3.144091,4.6134,0.6724,-3.0068,5.548
3.148566,-2.7295,-1.2916,10.5233,10.948
3.156953,-13.169,-4.1236,6.8815,15.42
3.161854,-1.4372,-0.9428,14.4261,14.528
3.165352,8.4745,0.158,-1.5566,8.618
3.170185,6.731,1.1901,-11.9644,13.779
3.173764,6.3615,0.579,-11.826,13.441
3.178799,-0.5311,5.3264,-11.6849,12.853
3.186612,-7.7547,1.24,-3.482,8.591
3.190492,-3.3158,-4.3133,12.7784,13.888
3.195173,-0.6865,0.7402,20.2765,20.302
3.199144,-1.56,-1.0614,8.5952,8.8
3.207097,-1.4927,-1.0974,-17.3815,17.48
3.211943,2.0526,-3.8127,-13.5061,14.183
3.215932,1.6617,4.999,-4.8739,7.177
3.220246,3.6941,1.7939,-7.7602,8.78
3.224245,-3.4745,-1.976,-4.413,5.954
3.228817,-7.4914,-3.0297,0.7426,8.115
3.232867,0.4726,-0.4104,5.8935,5.927
3.241752,2.3105,2.3242,35.5933,35.744
3.245542,7.45,-2.131,10.2165,12.823
3.249647,1.8459,-2.7689,-8.9263,9.526
3.256557,-1.2999,-0.9974,-5.0603,5.319
3.260578,-0.3588,1.8002,-11.371,11.518
3.266296,1.9707,1.7628,-11.6534,11.95
3.270164,-0.8616,1.1469,-1.4293,2.025
3.27562,0.8359,-0.7519,9.4021,9.469
3.278978,0.4898,0.5021,2.4696,2.567
3.283396,-5.125,-5.4326,1.4662,7.611
3.291767,-3.2735,0.1213,-0.3322,3.293
3.296403,-1.2707,0.0792,-7.1007,7.214
3.299959,3.0701,0.2812,-3.0846,4.361
3.303974,1.6547,-0.8471,5.9182,6.203
3.308785,1.2132,-1.1961,11.8543,11.976
3.315138,-3.0906,0.314,5.3254,6.165
3.321267,-0.2743,-0.7377,-6.2502,6.3
3.325438,0.7337,-1.4955,-7.8548,8.029
3.330182,3.2227,-1.1618,-6.0353,6.94
3.333791,-0.966,2.0355,1.168,2.538
3.337745,0.2831,-3.0171,2.1336,3.706
3.346174,-3.6891,1.5661,10.8811,11.596
3.350416,-6.4037,4.5271,4.0565,8.829
3.355032,5.9103,-5.208,4.0384,8.852
3.359277,2.9326,-3.9372,-3.1094,5.811
3.363609,-1.2434,2.163,-5.0234,5.609
3.372006,-0.3481,2.4633,-11.0048,11.283
3.376042,0.9694,4.4423,-7.3967,8.682
3.380634,4.301,-3.4138,-6.558,8.553
