time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.001017,4.911,-1.428,7.7513,9.287
4.004702,-1.9809,-6.2788,6.9759,9.592
4.009619,-0.6635,-2.3415,-3.524,4.283
4.015591,-9.4834,-1.1431,0.1758,9.554
4.018017,-6.5759,-2.0475,-4.0522,7.991
4.029544,1.2144,0.2452,-13.5467,13.603
4.030759,3.397,-0.0011,-9.3711,9.968
4.035018,-0.4905,3.019,-3.2229,4.443
4.039124,2.063,-0.6674,18.1838,18.313
4.043154,6.0903,-3.1348,4.1703,8.019
4.047056,2.0308,-2.3461,-4.4777,5.448
4.056078,-4.9534,2.0443,1.449,5.551
4.060182,-1.9296,-0.2038,-3.7255,4.201
4.064424,-2.4806,1.2743,-3.5872,4.544
4.068375,0.0086,-0.0194,-6.9834,6.983
4.073072,2.3689,-0.3684,-4.444,5.049
4.081109,-3.3588,-0.6141,6.0076,6.91
4.084937,-6.3481,-2.5053,16.8563,18.185
4.090439,4.6735,-0.7852,6.697,8.204
4.093767,6.9139,0.7074,-8.455,10.945
4.098085,4.0401,0.7815,-7.1814,8.277
4.106646,-3.6915,1.933,-1.2919,4.363
4.111378,-3.965,-0.2909,-2.3331,4.61
4.115344,-4.2883,-1.2859,-0.3551,4.491
4.119121,-0.5324,1.4034,11.8936,11.988
4.123149,2.644,-3.0789,8.1473,9.102
4.129747,3.4843,-0.4201,2.67,4.41
4.13728,1.2376,0.9211,-8.211,8.355
4.140071,2.9512,3.948,-10.5901,11.681
4.14434,0.0294,4.5634,-12.3347,13.152
4.148387,-1.0577,0.9496,-6.7235,6.872
4.152617,2.6283,-0.9332,-3.3254,4.34
4.161129,-4.2394,0.1206,10.8063,11.609
4.164979,0.4871,-2.6878,23.3438,23.503
4.169558,1.7049,-3.416,8.0711,8.929
4.173276,1.4788,-0.3261,-1.0415,1.838
4.178301,1.1818,-0.8242,-6.0993,6.267
4.186609,-7.8955,-0.6465,-17.4932,19.203
4.190896,-9.103,0.8737,0.4371,9.155
4.195438,1.8346,-1.8883,2.1132,3.376
4.199186,6.7411,0.4319,8.0595,10.516
4.203215,8.0585,-0.652,12.8569,15.188
4.2072,-1.215,1.6369,-9.8234,10.033
4.215864,-4.7897,-1.3294,-6.3243,8.044
