time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.001285,0.3205,0.5261,-4.1823,4.227
2.006687,1.2439,2.1134,-4.6764,5.28
2.009537,1.0856,1.5651,2.5524,3.185
2.018511,0.2132,-1.6256,1.6699,2.34
2.022156,0.6703,0.5425,-2.7671,2.898
2.028069,2.2075,1.7868,-1.0876,3.041
2.030905,0.0912,3.0878,-3.339,4.549
2.035562,-1.6248,1.9011,6.1052,6.598
2.044065,-1.2116,-0.3189,-3.9257,4.121
2.047012,-1.0963,-0.8983,-3.4558,3.735
2.051409,-1.5394,-0.935,-9.3642,9.536
2.055829,-1.4381,-2.2618,-4.4799,5.22
2.061041,-1.405,-1.7399,0.4931,2.29
2.064459,-1.7934,1.4246,3.0789,3.837
2.072784,-1.5679,2.9652,-0.2953,3.367
2.07762,-1.7884,3.0098,-3.2863,4.802
2.08152,-2.0057,1.6019,-5.7926,6.336
2.085916,-2.8432,0.1831,-9.4589,9.879
2.089945,-3.5844,-0.4451,-8.8153,9.527
2.098494,-1.462,-2.339,3.0764,4.132
2.104363,2.3641,-1.5262,2.4422,3.726
2.110332,6.2516,-1.2798,12.0872,13.668
2.11094,5.7582,2.5482,12.1561,13.69
2.114944,1.6173,4.4783,4.8775,6.816
2.119297,-0.5202,2.006,6.4831,6.806
2.12805,3.25,1.6754,9.3389,10.029
2.1315,4.9314,0.093,3.9829,6.34
2.135955,1.9549,-0.7482,-2.3188,3.124
2.141184,0.1704,-1.4143,0.0138,1.425
2.144558,-1.1826,-0.2268,-4.0914,4.265
2.153191,-0.3529,2.3022,-1.5931,2.822
2.157422,-3.6746,-0.1689,-2.6553,4.537
2.161924,-4.574,-0.5897,-5.1909,6.944
2.165746,-4.1784,-2.8704,-4.2814,6.635
2.170564,1.6562,-4.4868,20.3987,20.952
2.178521,4.8843,-3.2262,13.7666,14.959
2.182618,2.8993,-1.1387,-7.6375,8.248
2.187068,0.1264,0.3812,-8.0864,8.096
2.191197,-2.1338,0.0153,-6.8921,7.215
2.198131,-3.1308,-1.085,-10.2778,10.799
2.199592,-3.9482,-1.7166,-10.7078,11.541
2.212043,-4.0352,-2.5767,-7.1651,8.618
2.212511,-3.0739,-1.6694,-7.3003,8.095
2.21628,-1.585,0.949,-3.7287,4.161
2.220801,1.1001,1.3593,1.2621,2.157
2.224703,3.6341,1.4759,-1.7187,4.282
2.233227,5.1975,7.2137,10.839,14.019
2.23736,6.5182,1.5587,29.7682,30.513
2.241449,2.6998,-0.003,6.5381,7.074
2.245314,0.5859,0.6992,-0.3914,0.993
2.249945,-0.2946,0.3202,-3.275,3.304
2.258686,-1.2301,0.6017,-9.5336,9.631
2.263152,-1.4785,-0.6206,-3.9235,4.239
2.267139,-0.224,-1.232,-5.3663,5.51
2.271353,-0.6296,0.0996,-8.2003,8.225
2.275449,-0.0809,0.059,-3.0987,3.1
2.280178,0.2367,-1.0815,-3.978,4.129
2.28758,-0.2893,-0.435,5.8687,5.892
2.291758,0.852,-4.0825,21.2202,21.626
2.298626,5.4335,-3.2537,12.6855,14.179
2.301159,1.3025,0.7938,2.8784,3.258
2.310267,-1.869,0.4992,-0.1487,1.94
2.313198,0.8128,1.7891,3.3709,3.902
2.317377,-0.033,0.9554,-4.3776,4.481
2.321409,-1.7047,-0.968,-7.0511,7.319
2.325812,-0.0264,-2.7425,-0.9347,2.898
2.32995,2.5059,-1.1052,3.6573,4.569
2.334577,1.624,1.1492,-4.6513,5.059
2.342643,-1.6067,0.7925,-5.3346,5.627
2.347026,-3.721,0.2936,-4.6648,5.974
2.351287,-4.9939,1.7118,0.7089,5.327
2.355761,-4.5345,0.5231,-4.7872,6.615
2.359734,-1.5171,-2.2322,-4.9263,5.617
2.368164,4.0798,-2.0347,6.7905,8.179
2.372051,6.2429,-0.5164,-2.3735,6.699
2.376576,5.6013,0.868,-4.7263,7.38
2.381128,1.8538,3.4972,4.2219,5.787
2.385089,-0.9476,3.6096,-0.1012,3.733
2.393578,-3.6948,3.2325,-0.745,4.965
2.39918,-6.1085,2.772,-6.0916,9.061
2.401765,-7.8329,2.3179,-6.3119,10.323
2.408547,-8.3087,0.1042,-4.3516,9.38
2.410159,-7.3927,-1.4916,-0.8169,7.586
2.414781,-4.1183,-1.0749,0.939,4.359
2.422789,2.3917,-0.6685,6.128,6.612
