time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.006364,-0.3538,0.7358,-4.1963,4.275
2.011074,-1.8342,-0.9335,0.5284,2.125
2.014586,-2.7217,-1.559,-5.0256,5.924
2.018579,-3.767,-2.6376,5.5322,7.194
2.023067,-4.0037,-1.2552,-2.9003,5.101
2.027292,-3.8478,0.6718,-5.1414,6.457
2.036229,-4.3347,1.5416,-2.0409,5.033
2.040307,-0.7534,-1.4994,5.4583,5.71
2.047548,5.6952,-1.1059,11.8637,13.206
2.048357,5.3242,0.1819,0.5833,5.359
2.052872,3.8446,0.9456,-2.8269,4.865
2.064197,1.9102,-0.473,-6.2026,6.507
2.064815,-0.0299,-0.8556,-5.983,6.044
2.072085,-0.154,0.3773,-3.5783,3.601
2.073231,2.2028,1.8263,-0.9128,3.003
2.078103,1.7644,-0.7899,-2.8351,3.431
2.089171,2.1738,-2.6763,-0.1644,3.452
2.09062,2.4399,1.3316,5.6704,6.315
2.096295,-0.8079,1.4372,2.4859,2.983
2.098887,-2.2393,-0.3218,0.6943,2.366
2.103579,-3.1285,0.1242,-4.7829,5.717
2.107417,-3.9694,0.2555,-6.5271,7.644
2.11589,-2.3424,-0.4004,-5.0782,5.607
2.120073,2.4391,0.095,1.7141,2.983
2.124587,5.9274,0.5226,11.239,12.717
2.128786,5.8402,0.8628,14.7243,15.864
2.132827,4.2828,-2.3076,3.8041,6.176
2.140974,-0.6884,0.0252,-5.3604,5.404
2.145352,-2.7231,1.4035,1.9341,3.623
2.14899,-4.3673,1.6954,-4.3793,6.413
2.15372,-4.6674,-0.3083,-0.1932,4.682
2.157921,3.1832,-1.0279,14.4564,14.838
2.162321,4.4517,1.0057,0.995,4.671
2.173534,2.9881,1.1811,-11.8209,12.25
2.178975,2.3616,-0.3406,2.0291,3.132
2.179359,0.8005,-2.1537,-10.9998,11.237
2.183446,-1.8123,-1.7813,-8.473,8.846
2.187544,-4.2736,-1.8122,-0.4004,4.659
2.195972,-3.7005,2.0051,7.8598,8.916
2.200187,-0.4767,-1.4832,10.7214,10.834
2.204752,0.4671,0.9242,5.6184,5.713
2.208611,-0.101,1.6762,0.0543,1.68
2.212857,-1.465,-0.4951,-3.3594,3.698
2.221147,0.4022,0.2792,-1.6527,1.724
2.224987,1.194,-0.1847,-4.4945,4.654
2.229104,1.9722,-1.1634,-6.681,7.063
2.233537,2.5511,-0.5049,-5.1363,5.757
2.238712,1.551,-1.8205,-7.3372,7.717
2.242374,3.7558,-2.0117,7.7735,8.865
2.250727,10.4936,6.409,38.4051,40.325
2.257032,0.7342,2.3712,-2.6725,3.647
2.259453,-1.9692,-0.0057,-3.1316,3.699
