time,ax,ay,az,atotal
0.000,0.22,-1.01,1.87,2.14
0.010,-0.18,-0.47,1.74,1.81
0.020,-0.42,-0.39,1.10,1.24
0.030,-0.12,-0.20,0.28,0.36
0.040,-0.01,-0.25,-0.18,0.30
0.050,0.10,-0.49,-0.00,0.50
0.060,0.23,-0.97,0.14,1.01
0.070,0.26,-1.39,0.50,1.50
0.080,0.23,-1.58,0.42,1.65
0.090,0.78,-1.38,0.37,1.62
0.100,0.94,-1.85,0.22,2.09
0.110,0.75,-4.03,-0.63,4.15
0.120,1.57,-3.61,-1.66,4.27
0.130,2.30,-1.46,-0.25,2.73
0.140,2.15,-0.66,1.90,2.94
0.150,1.55,-0.56,3.51,3.87
0.160,0.60,-1.43,4.09,4.38
0.170,-0.44,-2.49,3.90,4.65
0.180,-1.19,-3.40,3.84,5.27
0.190,-1.65,-3.90,4.38,6.10
0.200,-1.84,-4.03,5.04,6.71
0.210,-1.95,-3.72,5.25,6.72
0.220,-2.18,-3.24,5.08,6.41
0.230,-2.39,-2.49,4.94,6.03
0.240,-2.51,-1.41,4.74,5.55
0.250,-3.37,-0.51,4.54,5.68
0.260,-4.50,0.30,4.29,6.23
0.270,-4.97,0.63,3.92,6.36
0.280,-5.24,0.55,3.68,6.43
0.290,-5.01,0.53,3.56,6.17
0.300,-3.89,0.02,3.00,4.92
0.310,-3.14,-0.43,2.45,4.01
0.320,-2.71,-0.42,1.70,3.23
0.330,-2.35,-0.49,0.69,2.50
0.340,-2.47,-0.20,-0.05,2.48
0.350,1.28,1.63,0.59,2.15
0.360,4.40,2.97,-5.76,7.84
0.370,1.98,0.54,-13.76,13.91
0.379,1.49,-0.50,-7.74,7.90
0.389,1.78,-2.84,-7.93,8.61
0.400,2.92,-5.12,-5.62,8.15
0.409,2.44,-6.05,-2.94,7.16
0.420,-0.22,-4.73,0.37,4.74
0.429,-1.73,-2.20,2.79,3.95
0.439,-1.63,-0.34,4.40,4.70
0.450,-0.60,0.27,4.85,4.89
0.459,0.23,0.62,2.71,2.79
0.469,0.36,1.50,0.56,1.64
0.480,-0.12,2.35,0.88,2.51
0.489,-0.93,3.44,-2.27,4.23
0.499,-1.33,3.91,-1.63,4.44
0.509,-0.83,3.24,-0.96,3.48
0.519,-1.17,2.78,0.61,3.08
0.530,-1.08,2.41,0.47,2.68
0.539,-0.66,2.48,-0.90,2.72
0.550,-0.64,2.98,-1.46,3.38
0.559,-1.08,3.30,-2.03,4.02
0.569,-1.50,3.29,-2.50,4.39
0.579,-1.05,3.33,-2.01,4.02
0.589,-0.47,3.45,-1.14,3.66
0.599,0.14,2.69,-0.72,2.79
0.609,0.59,1.24,0.20,1.39
0.619,1.73,2.69,2.88,4.31
0.629,1.61,5.26,2.96,6.24
0.639,1.43,4.84,0.62,5.09
0.649,1.09,2.27,-1.44,2.90
0.659,0.04,-0.61,-2.24,2.32
0.669,-2.26,-2.62,2.06,4.03
0.680,-4.02,-3.27,3.58,6.30
0.689,-3.56,-4.46,3.62,6.76
0.699,-4.50,-4.95,4.00,7.80
0.709,-5.73,-3.67,6.46,9.38
0.719,-6.59,-1.95,9.31,11.57
0.729,-7.99,1.22,6.57,10.41
0.739,-8.30,3.11,5.98,10.69
0.749,-8.95,5.19,5.59,11.76
0.759,-9.14,6.48,4.31,12.01
0.769,-8.50,6.16,4.12,11.28
0.779,-8.01,5.00,3.83,10.19
0.789,-7.87,3.16,3.22,9.07
0.799,-7.39,1.77,2.69,8.06
0.809,-6.52,1.03,2.06,6.92
0.819,-5.42,0.74,1.26,5.62
0.829,-3.86,1.22,0.96,4.16
0.839,-0.77,2.32,1.58,2.91
0.849,1.47,4.76,0.78,5.04
0.860,2.45,6.92,-0.62,7.37
0.869,4.82,7.01,-1.18,8.59
0.879,6.42,6.96,-2.36,9.76
0.889,7.85,7.23,-2.48,10.95
0.899,9.10,8.78,-1.49,12.73
0.909,9.61,10.30,-2.65,14.33
0.919,10.04,9.21,-3.98,14.19
0.929,10.22,8.02,-4.12,13.62
0.939,10.21,7.00,-4.11,13.05
0.949,9.97,6.43,-4.47,12.68
0.959,9.41,6.85,-4.72,12.56
0.969,9.08,7.15,-5.39,12.75
0.979,9.21,7.11,-6.05,13.11
0.989,9.31,6.90,-5.88,13.00
0.999,9.40,6.06,-5.67,12.54
1.009,9.07,4.68,-5.07,11.40
1.019,8.98,2.85,-4.39,10.39
1.029,9.01,0.86,-3.53,9.72
1.038,8.22,-0.70,-2.41,8.60
1.049,6.98,-2.47,-1.32,7.52
1.058,5.23,-3.51,-0.39,6.31
1.068,3.28,-3.67,1.28,5.09
1.078,1.33,-3.95,2.49,4.85
1.088,-0.78,-4.55,2.88,5.44
1.098,-2.43,-5.19,3.27,6.60
1.108,-3.26,-6.06,4.17,8.04
1.118,-3.71,-6.33,4.83,8.79
1.128,-4.13,-5.78,4.46,8.39
1.138,-4.25,-4.67,3.10,7.03
1.149,-4.09,-3.63,2.54,6.03
1.158,-3.57,-3.04,2.36,5.25
1.168,-2.85,-2.56,2.36,4.50
1.178,-2.02,-2.13,2.62,3.94
1.188,-1.38,-1.39,2.87,3.47
1.199,-0.52,-0.48,2.80,2.89
1.208,0.07,0.21,2.39,2.40
1.218,0.09,0.44,1.37,1.44
1.228,-0.10,1.38,0.48,1.46
1.238,0.10,2.90,0.03,2.90
1.248,0.40,3.83,-0.63,3.90
1.258,0.18,4.25,-1.46,4.49
1.268,-0.25,4.29,-2.38,4.92
1.278,-0.23,4.00,-2.08,4.52
1.288,-0.32,3.09,-1.10,3.29
1.298,1.29,1.86,0.03,2.26
1.308,0.93,3.55,2.79,4.61
1.318,-0.01,3.08,-0.71,3.17
1.328,0.91,3.56,-1.59,4.01
1.338,0.77,4.65,0.17,4.72
1.348,1.62,5.55,-1.50,5.97
1.358,2.01,3.78,-1.70,4.61
1.368,-0.90,2.54,-4.40,5.16
