time,ax,ay,az,atotal
0.000,2.31,-1.18,-2.38,3.52
0.010,2.22,-1.15,-2.66,3.65
0.020,2.52,-0.86,-1.97,3.32
0.030,2.60,-0.52,-0.69,2.74
0.040,2.46,-0.14,0.51,2.51
0.050,2.36,0.32,1.03,2.59
0.060,2.33,0.73,1.05,2.65
0.070,2.02,0.76,0.77,2.29
0.080,2.46,0.12,0.79,2.59
0.090,2.76,-0.98,0.62,2.99
0.100,2.48,-1.65,0.96,3.13
0.110,2.23,-1.82,1.18,3.11
0.120,2.21,-1.33,0.90,2.74
0.130,2.51,-0.98,0.53,2.75
0.140,2.46,-0.82,-0.04,2.60
0.150,2.22,-0.83,-0.40,2.40
0.160,1.66,-0.72,-0.84,2.00
0.170,1.33,-0.50,-1.22,1.87
0.180,0.99,-0.26,-1.67,1.96
0.190,0.94,-0.15,-1.83,2.06
0.199,1.49,-0.32,-1.61,2.22
0.209,1.85,-0.77,-1.32,2.40
0.220,1.78,-0.91,-0.80,2.15
0.230,1.58,-0.76,-0.07,1.76
0.240,1.35,-0.44,0.35,1.46
0.250,1.27,-0.11,0.25,1.30
0.260,1.25,0.06,-0.29,1.28
0.269,1.24,0.18,-0.89,1.54
0.280,1.33,0.27,-1.20,1.81
0.289,1.47,0.31,-1.08,1.85
0.300,1.67,0.16,-0.70,1.82
0.309,1.80,0.11,-0.20,1.82
0.320,2.18,-0.10,-0.02,2.18
0.329,2.59,-0.42,-0.02,2.62
0.339,2.85,-0.50,0.14,2.90
0.349,2.99,-0.30,-0.09,3.01
0.359,2.95,0.03,-0.06,2.95
0.369,2.75,-0.01,0.49,2.80
0.379,2.47,-0.38,1.01,2.69
0.389,1.90,0.34,0.48,1.99
0.399,0.83,0.40,1.92,2.13
0.409,0.59,1.36,3.52,3.82
0.419,0.43,3.23,3.28,4.62
0.429,0.77,2.15,3.29,4.01
0.439,0.77,1.32,4.21,4.48
0.449,0.64,0.94,5.90,6.01
0.459,0.95,-0.11,7.71,7.77
0.469,0.68,-1.10,7.81,7.92
0.479,0.43,-1.48,6.50,6.68
0.489,0.88,-1.70,4.33,4.74
0.499,0.50,-2.73,1.19,3.03
0.509,0.32,-3.98,-1.52,4.27
0.519,1.06,-4.35,-1.74,4.80
0.529,1.85,-3.94,-0.37,4.37
0.539,2.43,-2.85,1.05,3.89
0.549,2.32,-1.85,3.10,4.29
0.559,1.99,-1.12,4.68,5.20
0.569,1.53,-2.17,5.21,5.85
0.579,-0.01,-3.44,2.67,4.35
0.589,-1.01,-2.64,-3.13,4.22
0.599,1.54,-2.04,-1.75,3.10
0.609,0.79,-3.41,-1.44,3.78
0.619,0.64,-3.01,0.41,3.11
0.629,-0.95,-1.29,2.84,3.27
0.639,-2.41,-0.42,3.75,4.48
0.649,-3.84,-1.34,4.50,6.07
0.659,-5.17,-4.45,4.17,8.00
0.669,-5.72,-7.27,4.05,10.10
0.679,-5.10,-7.80,3.31,9.89
0.689,-4.65,-6.05,1.96,7.88
0.699,-5.79,-2.14,3.20,6.95
0.709,-7.71,-0.23,2.76,8.19
0.719,-9.18,0.08,1.26,9.27
0.729,-10.85,0.37,2.78,11.21
0.739,-11.30,0.46,4.44,12.16
0.749,-11.22,1.03,4.81,12.25
0.759,-11.63,2.05,5.77,13.14
0.769,-12.30,2.11,7.37,14.49
0.779,-11.70,1.93,9.28,15.06
0.789,-9.94,2.28,11.00,15.00
0.799,-8.31,3.84,10.97,14.28
0.809,-6.83,4.91,9.39,12.61
0.819,-4.55,6.10,7.92,10.98
0.829,-2.65,7.87,7.68,11.31
0.839,0.82,9.24,7.31,11.81
0.849,5.35,9.40,5.98,12.36
0.859,10.91,6.09,6.13,13.92
0.869,19.73,-5.87,7.24,21.82
0.879,18.76,-4.99,10.52,22.07
0.889,13.42,-0.06,3.58,13.89
0.899,2.92,10.71,-4.74,12.07
0.909,-2.39,16.17,-8.56,18.45
0.920,0.87,14.81,-7.21,16.49
0.929,5.91,11.43,-5.22,13.88
0.939,7.43,5.58,-8.50,12.59
0.948,7.79,6.74,-12.98,16.57
0.959,4.41,8.99,-8.23,12.96
0.968,1.73,8.47,-10.38,13.50
0.978,3.14,9.49,-5.62,11.46
0.988,2.74,4.95,-2.93,6.37
0.998,2.95,1.27,-5.95,6.76
1.008,3.83,-1.02,-6.87,7.93
1.018,3.64,-1.47,-8.98,9.80
1.028,3.64,1.39,-10.43,11.13
1.038,3.99,4.25,-11.88,13.24
1.048,5.17,5.90,-11.47,13.90
1.058,6.36,4.93,-8.25,11.53
1.068,6.00,1.71,-4.62,7.77
1.078,5.36,-1.59,-4.11,6.94
1.088,4.57,-2.82,-3.99,6.69
1.098,3.09,-3.33,-2.12,5.01
1.108,1.55,-3.67,-3.36,5.21
1.118,1.33,-3.30,-2.41,4.29
1.128,1.92,-4.07,-0.49,4.53
1.138,3.40,-2.17,1.04,4.16
1.148,4.89,-3.07,3.23,6.62
1.158,5.24,-1.76,1.39,5.70
1.168,5.96,-4.14,2.56,7.70
