time,ax,ay,az,atotal
0.000,0.64,-0.02,-0.06,0.64
0.010,0.66,-0.25,-0.12,0.72
0.020,0.65,-0.33,-0.16,0.75
0.030,0.52,-0.31,-0.22,0.64
0.040,0.63,-0.11,-0.15,0.66
0.050,0.51,-0.14,-0.55,0.76
0.060,0.57,-0.07,-0.84,1.02
0.070,0.74,-0.12,-0.65,0.99
0.080,0.75,-0.26,-0.54,0.96
0.090,0.61,-0.45,-0.64,0.99
0.100,0.51,-0.61,-0.53,0.96
0.110,0.28,-0.55,-0.26,0.68
0.120,-0.14,-0.44,0.11,0.47
0.130,-0.41,-0.60,0.41,0.84
0.140,-0.42,-0.80,0.51,1.04
0.150,-0.22,-0.76,0.46,0.92
0.160,0.18,-0.70,0.44,0.84
0.170,0.50,-0.83,0.37,1.04
0.180,0.54,-1.21,0.53,1.43
0.190,0.38,-1.74,1.02,2.05
0.200,0.11,-2.43,1.50,2.86
0.210,-0.14,-2.75,1.63,3.20
0.219,-0.13,-2.48,1.63,2.97
0.230,-0.10,-2.02,1.89,2.76
0.240,-0.21,-1.54,2.33,2.80
0.250,-0.47,-1.08,2.35,2.63
0.259,-0.77,-0.93,2.23,2.54
0.270,-1.14,-0.87,2.22,2.65
0.280,-1.40,-0.82,2.23,2.76
0.290,-1.56,-1.30,2.15,2.96
0.299,-1.69,-1.99,2.05,3.32
0.310,-1.59,-2.20,1.92,3.32
0.319,-1.18,-1.86,1.38,2.60
0.330,-0.93,-1.58,0.67,1.96
0.339,-0.95,-1.12,0.61,1.59
0.349,-0.94,-0.48,0.56,1.19
0.360,-1.08,-0.38,0.43,1.22
0.369,-1.65,-0.31,0.58,1.77
0.379,-2.07,0.09,0.83,2.23
0.389,-1.92,0.19,0.65,2.04
0.399,-1.39,0.02,-0.05,1.39
0.409,-0.73,-0.17,-0.81,1.10
0.419,-0.07,-0.28,-1.66,1.69
0.429,0.47,-0.17,-1.92,1.99
0.439,0.80,-0.01,-1.77,1.94
0.449,0.82,0.24,-1.42,1.66
0.459,0.60,0.53,-1.07,1.33
0.469,0.25,0.92,-1.03,1.41
0.479,-0.31,1.53,-0.82,1.76
0.489,0.07,2.71,-2.44,3.65
0.499,1.86,2.49,-1.71,3.55
0.509,2.06,2.48,-3.11,4.48
0.519,2.36,2.18,-3.24,4.56
0.529,2.36,0.45,-2.89,3.76
0.539,1.67,-1.31,-2.47,3.26
0.549,0.11,-2.37,-0.75,2.49
0.559,-1.10,-0.85,0.86,1.63
0.569,-1.29,0.96,0.74,1.77
0.579,-1.41,1.25,-0.07,1.89
0.589,-1.42,1.06,0.12,1.77
0.599,-0.95,0.79,0.34,1.28
0.609,-0.31,0.84,-0.61,1.09
0.619,0.35,1.23,-0.96,1.60
0.629,0.64,0.82,-0.23,1.06
0.639,0.30,-0.39,0.85,0.98
0.649,-0.42,-1.05,1.42,1.82
0.659,-1.23,-0.91,1.89,2.43
0.669,-1.94,0.29,3.43,3.95
0.679,-1.92,-0.24,2.20,2.93
0.689,-0.81,-1.31,1.29,2.01
0.699,0.26,-1.90,0.99,2.16
0.709,1.01,-2.62,0.60,2.87
0.719,1.38,-3.30,-0.07,3.57
0.729,1.43,-3.31,-0.86,3.71
0.739,1.35,-2.23,-1.02,2.80
0.749,0.37,-0.72,-0.91,1.22
0.759,-1.10,1.35,-0.24,1.76
0.769,-1.71,3.11,0.73,3.62
0.779,-2.22,2.91,0.99,3.79
0.789,-1.93,1.97,0.86,2.88
0.799,-0.85,1.41,1.51,2.24
0.809,-0.17,1.19,2.31,2.61
0.818,0.24,1.10,1.64,1.99
0.829,-0.31,1.24,-0.28,1.31
0.839,-1.65,1.92,-1.43,2.91
0.849,-2.82,0.91,-2.89,4.14
0.858,-5.71,2.05,-4.14,7.34
0.868,-6.64,3.27,1.58,7.57
0.879,-0.78,3.52,3.90,5.31
0.888,-0.04,1.67,4.39,4.70
0.898,0.13,0.59,5.00,5.03
0.908,1.08,0.21,6.81,6.90
0.918,1.67,-0.21,6.10,6.33
0.928,1.37,-0.72,5.22,5.45
0.938,-0.31,-0.06,5.59,5.60
0.949,-2.31,1.81,6.08,6.75
0.958,-4.05,2.81,4.97,7.00
0.968,-5.71,2.98,3.72,7.44
0.978,-7.33,3.10,3.91,8.87
0.988,-8.00,3.16,3.48,9.28
0.998,-8.12,3.25,2.40,9.06
1.008,-8.06,3.77,1.54,9.03
1.018,-8.13,3.45,0.53,8.84
1.028,-7.83,3.02,-1.42,8.51
1.038,-7.32,3.31,-2.80,8.51
1.048,-6.53,4.01,-2.76,8.14
1.058,-5.30,5.31,-2.44,7.89
1.068,-3.57,5.43,-3.36,7.32
1.078,-1.86,4.28,-5.13,6.94
1.088,-0.19,5.01,-4.85,6.98
1.098,1.24,5.08,-4.89,7.15
1.108,2.36,3.55,-7.40,8.54
1.118,2.98,2.83,-10.10,10.90
1.128,3.18,3.06,-12.32,13.08
1.138,4.19,3.87,-13.81,14.94
1.148,5.51,4.24,-9.32,11.63
1.158,6.95,2.36,-5.92,9.43
1.168,7.09,0.04,-6.19,9.42
1.178,6.57,-0.96,-4.97,8.29
1.188,7.95,0.35,-6.66,10.38
1.198,7.88,0.71,-6.38,10.16
1.208,7.04,0.25,-3.21,7.74
1.218,7.08,0.44,-2.01,7.37
1.228,7.51,1.06,-0.93,7.64
1.238,8.25,0.01,0.98,8.31
1.248,8.68,-3.01,-0.29,9.20
1.258,8.50,-3.75,2.06,9.52
1.268,8.03,-4.71,1.06,9.37
1.278,7.93,-2.82,-2.53,8.79
1.288,7.11,-3.36,0.42,7.88
1.298,6.93,-3.73,-0.24,7.87
1.308,6.69,-3.07,1.02,7.43
1.318,6.00,-1.62,4.46,7.65
1.328,5.30,-0.67,4.44,6.95
1.338,3.85,0.41,3.69,5.35
1.348,2.05,1.32,3.86,4.57
1.358,0.43,2.28,3.33,4.06
1.368,-0.79,3.25,2.19,3.99
1.378,-1.83,3.42,1.16,4.05
1.388,-2.34,2.30,0.05,3.28
1.398,-2.41,0.29,-1.02,2.63
1.408,-2.42,-2.00,-1.33,3.41
1.418,-2.17,-4.25,-1.10,4.90
1.428,-1.49,-6.03,-0.43,6.22
1.438,-0.60,-7.11,1.39,7.27
1.448,0.47,-7.57,2.74,8.07
1.458,1.39,-7.12,3.07,7.88
1.468,2.48,-5.59,2.27,6.52
1.478,2.96,-4.31,1.15,5.35
1.488,2.62,-2.72,0.98,3.90
1.497,1.79,-1.01,0.79,2.20
1.508,0.89,0.18,0.99,1.35
1.518,0.11,0.75,1.28,1.49
1.528,-0.29,0.65,1.38,1.55
1.538,-0.06,0.62,1.67,1.78
1.547,0.45,0.03,1.97,2.02
1.558,0.38,-0.56,2.30,2.40
1.568,-0.53,-0.67,2.14,2.30
