time,ax,ay,az,atotal
0.000,-0.17,0.23,-0.49,0.57
0.010,-0.18,0.16,0.10,0.26
0.020,-0.42,0.34,-0.13,0.55
0.030,-0.40,0.26,-0.46,0.67
0.040,-0.39,0.29,-0.56,0.75
0.050,-0.47,0.35,-0.37,0.69
0.060,-0.46,0.38,-0.23,0.64
0.070,-0.47,0.50,0.00,0.68
0.080,-0.48,0.63,0.25,0.83
0.090,-0.40,0.70,0.35,0.88
0.100,-0.31,0.56,0.31,0.71
0.110,-0.29,0.45,0.32,0.63
0.120,-0.38,0.36,0.34,0.62
0.130,-0.42,0.12,0.18,0.47
0.140,-0.47,-0.06,-0.02,0.47
0.150,-0.55,-0.09,0.00,0.56
0.160,-0.59,-0.14,0.08,0.61
0.170,-0.54,-0.22,0.01,0.58
0.180,-0.35,-0.09,-0.07,0.36
0.189,-0.07,-0.15,-0.05,0.18
0.200,0.12,-0.37,-0.01,0.39
0.210,0.11,-0.47,-0.05,0.48
0.220,0.05,-0.61,-0.04,0.61
0.229,-0.05,-0.80,-0.02,0.81
0.239,-0.11,-1.01,-0.22,1.04
0.249,-0.08,-1.27,-0.40,1.33
0.260,-0.01,-1.38,-0.41,1.44
0.269,0.06,-1.40,-0.17,1.41
0.280,0.11,-1.55,0.22,1.57
0.289,0.06,-1.68,0.52,1.76
0.299,-0.04,-1.54,0.62,1.67
0.309,-0.14,-1.54,1.00,1.84
0.319,-0.21,-1.93,1.30,2.34
0.329,-0.31,-1.55,1.59,2.25
0.339,-0.33,-1.41,2.00,2.46
0.349,-0.34,-1.84,2.21,2.89
0.359,-1.61,-1.20,1.89,2.76
0.369,-2.26,-0.45,1.85,2.95
0.379,-0.54,-1.28,1.96,2.40
0.389,0.04,-1.57,1.97,2.52
0.399,0.13,-1.48,0.80,1.69
0.409,0.11,-0.86,-0.58,1.05
0.419,-0.15,-0.24,-1.06,1.09
0.429,-0.33,-0.08,-0.79,0.86
0.439,-0.27,-0.14,-0.06,0.31
0.449,-0.11,-0.01,1.09,1.10
0.459,-0.04,0.49,1.39,1.47
0.469,-0.17,1.18,0.89,1.49
0.479,-0.11,1.52,0.69,1.67
0.489,0.23,1.60,0.87,1.83
0.499,0.50,1.48,0.41,1.62
0.509,1.18,-0.31,1.03,1.60
0.519,1.08,-1.88,-0.24,2.18
0.529,-0.13,-1.63,-0.95,1.89
0.539,-1.18,-1.10,-0.06,1.62
0.549,-1.27,-0.25,0.03,1.30
0.559,-0.27,0.81,-0.98,1.30
0.569,0.84,2.15,-1.22,2.61
0.579,1.16,3.10,0.18,3.31
0.589,0.72,3.97,1.45,4.29
0.599,-0.49,4.98,2.27,5.49
0.609,-0.49,4.19,2.54,4.93
0.619,-0.49,2.49,2.29,3.41
0.629,-1.02,1.14,0.67,1.67
0.639,-1.75,0.82,-0.45,1.98
0.649,-2.24,0.33,-0.15,2.27
0.659,-2.37,-0.68,0.58,2.53
0.669,-2.34,-1.37,0.68,2.80
0.679,-2.12,-1.72,0.56,2.79
0.689,-2.22,-1.68,1.02,2.97
0.699,-2.51,-1.02,1.40,3.05
0.709,-2.22,-0.39,1.17,2.54
0.719,-1.70,-0.17,0.98,1.97
0.729,-1.60,0.11,0.60,1.72
0.739,-1.90,0.40,0.64,2.05
0.749,-2.28,0.78,0.77,2.53
0.759,-2.56,1.91,-1.16,3.40
0.769,-0.65,-0.49,2.19,2.34
0.778,-0.73,-0.35,1.97,2.13
0.789,-1.21,-0.02,-1.45,1.89
0.799,-0.78,-0.95,-1.20,1.72
0.809,-0.23,-1.46,-1.99,2.48
0.818,0.08,-1.34,-1.84,2.28
0.829,0.97,-0.97,-1.03,1.71
0.838,2.77,-0.58,-1.77,3.34
0.849,2.85,-0.05,-2.20,3.60
0.858,2.59,0.42,-1.05,2.83
0.869,2.17,0.56,-1.32,2.60
0.879,1.65,0.47,-1.11,2.05
0.889,0.92,0.60,-0.28,1.13
0.899,0.24,0.65,0.14,0.71
0.909,0.12,0.44,0.22,0.51
0.919,0.22,0.27,-0.60,0.69
0.929,0.44,-0.62,-0.73,1.05
0.938,-0.68,-2.68,0.55,2.82
0.949,-2.98,-0.23,-0.23,2.99
0.958,2.64,4.48,1.26,5.34
0.968,3.87,4.36,1.18,5.95
0.979,1.03,2.56,-0.15,2.77
0.988,0.83,1.35,-0.43,1.65
0.998,1.40,0.82,0.68,1.76
1.008,1.64,0.66,0.53,1.85
1.018,0.47,-0.40,0.16,0.64
1.028,-0.34,-1.05,0.08,1.11
1.038,-0.91,-0.89,-0.31,1.30
1.048,-1.48,-1.40,-0.03,2.04
1.058,-0.96,-1.38,0.92,1.92
1.068,0.26,-1.09,-0.27,1.16
1.078,-2.37,0.10,2.74,3.62
1.088,-0.50,-0.06,2.16,2.22
1.098,-0.56,-0.88,0.83,1.33
1.108,-1.55,-0.87,-1.67,2.44
1.118,-2.63,-1.46,-2.07,3.65
1.128,-2.34,-2.00,-1.85,3.59
1.138,-1.84,-0.84,0.84,2.19
1.148,-1.75,-0.28,2.25,2.86
1.158,-1.01,0.58,1.97,2.28
1.168,-1.07,1.72,2.79,3.45
1.178,-1.64,2.83,3.69,4.93
1.188,-1.94,3.12,3.79,5.27
1.198,-2.36,2.50,3.50,4.90
1.208,-2.87,1.98,3.50,4.94
1.218,-3.23,1.76,3.62,5.16
1.228,-3.34,1.45,3.66,5.17
1.238,-3.54,1.23,3.70,5.26
1.248,-3.55,1.05,3.78,5.29
1.258,-3.61,0.35,3.55,5.07
1.268,-3.29,-0.27,3.37,4.72
1.278,-3.01,-0.46,3.56,4.69
1.288,-2.80,-0.57,2.77,3.98
1.298,-2.70,-0.51,1.40,3.08
1.308,-2.52,-0.27,0.21,2.55
1.318,-2.11,-0.20,-1.00,2.34
1.328,-1.44,-0.11,-1.25,1.91
1.338,-0.63,0.08,-0.52,0.82
1.348,0.41,0.08,-0.44,0.61
1.358,1.66,0.30,-0.56,1.78
1.368,2.78,1.44,0.35,3.15
1.378,3.94,2.99,-0.14,4.94
1.388,4.61,4.37,-1.82,6.61
1.398,4.47,5.69,-2.68,7.71
1.408,4.08,6.31,-3.67,8.37
1.418,3.59,5.91,-4.59,8.29
1.428,2.97,4.86,-4.81,7.45
1.438,2.59,3.35,-4.55,6.22
1.448,2.18,2.00,-4.36,5.27
1.458,1.83,1.16,-4.38,4.89
1.468,1.51,1.06,-4.19,4.58
1.478,1.33,1.29,-5.11,5.44
1.488,1.00,1.86,-4.81,5.25
1.498,0.57,2.68,-4.36,5.15
1.508,0.52,3.33,-4.19,5.38
1.518,0.70,3.27,-3.73,5.01
1.528,0.92,2.71,-3.34,4.40
1.538,1.13,2.40,-2.58,3.70
1.548,1.36,2.27,-1.78,3.19
1.558,1.76,2.05,-1.52,3.10
1.567,1.99,2.07,-0.98,3.03
1.578,2.13,1.96,-0.28,2.91
1.587,2.13,1.81,0.23,2.81
1.598,2.04,1.58,0.41,2.62
1.608,2.05,1.21,0.76,2.50
1.617,2.25,1.10,0.90,2.66
1.627,2.40,1.02,1.07,2.82
1.637,2.44,0.86,1.39,2.94
1.647,2.78,0.74,1.74,3.36
1.657,3.09,0.98,1.99,3.80
1.667,3.33,1.16,1.97,4.03
1.677,3.46,0.85,2.03,4.10
1.687,3.44,0.08,2.13,4.05
1.697,3.41,-0.68,1.98,4.00
1.707,3.27,-1.22,1.77,3.91
1.717,2.99,-1.53,1.72,3.78
1.727,2.85,-1.74,1.56,3.69
1.737,2.77,-1.82,1.32,3.57
1.747,2.65,-1.94,1.10,3.47
1.757,2.45,-1.92,1.30,3.37
