time,ax,ay,az,atotal
0.000,-0.21,0.01,-1.02,1.04
0.010,0.00,0.27,-0.71,0.76
0.020,0.26,0.28,-0.37,0.53
0.030,0.44,0.04,-0.19,0.48
0.040,0.51,-0.04,0.25,0.58
0.050,0.46,-0.02,0.66,0.80
0.060,0.29,-0.12,0.96,1.01
0.070,-0.07,-0.44,0.96,1.06
0.080,-0.15,-0.36,0.69,0.79
0.090,-0.11,-0.21,0.25,0.34
0.100,-0.10,-0.06,0.14,0.18
0.110,-0.08,0.04,0.06,0.11
0.120,0.12,0.04,0.04,0.13
0.130,0.29,0.02,-0.09,0.31
0.140,0.00,-0.33,-0.25,0.41
0.150,0.16,-0.41,-0.44,0.62
0.160,0.04,-0.20,-0.27,0.34
0.170,-0.21,-0.12,0.12,0.27
0.180,-0.32,-0.01,0.34,0.47
0.190,-0.39,-0.16,0.20,0.47
0.200,-0.04,-0.16,0.09,0.18
0.210,0.22,-0.22,0.12,0.34
0.220,0.38,-0.24,0.02,0.45
0.230,0.25,-0.26,-0.35,0.51
0.240,0.02,-0.33,-0.80,0.86
0.250,0.04,-0.21,-1.15,1.17
0.260,0.91,0.39,-1.37,1.69
0.270,1.14,0.23,-1.43,1.84
0.280,0.29,-0.84,-1.28,1.56
0.290,-0.01,-1.76,-1.16,2.11
0.300,0.07,-2.04,-0.99,2.27
0.310,-0.03,-1.92,-0.81,2.09
0.319,-0.40,-1.44,-0.59,1.60
0.330,-0.82,-0.60,-0.35,1.07
0.340,-0.86,-0.07,-0.10,0.87
0.350,-0.54,-0.06,0.07,0.55
0.360,-0.13,-0.26,0.01,0.30
0.369,0.19,-0.46,0.15,0.52
0.380,0.24,-0.57,0.49,0.79
0.390,0.12,-0.85,0.93,1.27
0.400,0.02,-1.09,1.45,1.82
0.410,-0.19,-0.98,1.86,2.11
0.420,-0.48,-0.64,2.00,2.15
0.430,-0.62,-0.36,1.83,1.97
0.440,-0.43,0.11,1.05,1.14
0.450,-0.02,1.50,-0.09,1.50
0.460,0.07,1.41,0.69,1.57
0.469,0.68,1.61,1.52,2.32
0.480,0.96,1.23,1.81,2.39
0.489,1.31,1.19,1.78,2.51
0.500,1.48,1.35,1.66,2.60
0.509,1.26,1.20,1.42,2.25
0.519,0.96,0.86,1.15,1.73
0.529,0.87,0.06,1.00,1.33
0.539,1.01,-0.96,1.02,1.73
0.549,1.28,-1.93,0.88,2.48
0.559,1.83,-2.38,0.73,3.09
0.569,2.47,-2.44,0.79,3.56
0.579,3.10,-2.97,1.40,4.52
0.589,3.38,-3.25,2.17,5.16
0.599,3.30,-2.47,2.83,5.00
0.609,2.28,-1.27,4.17,4.92
0.619,1.18,-0.68,5.79,5.95
0.629,0.93,-0.07,6.50,6.57
0.640,0.98,-0.64,6.20,6.31
0.649,0.43,-1.73,5.18,5.48
0.659,-0.56,-2.64,1.56,3.12
0.669,-0.67,-2.93,-6.04,6.74
0.679,0.73,-2.32,-2.27,3.33
0.689,-0.01,-2.20,-0.27,2.22
0.699,0.49,-0.60,3.04,3.13
0.709,0.21,0.52,6.57,6.59
0.719,0.01,0.46,6.65,6.66
0.729,0.13,-1.48,3.89,4.16
0.739,-1.33,-2.30,1.96,3.30
0.749,-1.55,-3.66,1.39,4.21
0.759,-0.98,-5.01,1.78,5.40
0.769,-2.41,-2.92,2.64,4.62
0.779,-2.88,-1.41,3.12,4.48
0.789,-3.33,-2.58,4.22,5.96
0.799,-3.56,-4.00,5.27,7.51
0.809,-3.03,-3.42,7.46,8.75
0.819,-2.54,-2.40,9.01,9.67
0.829,-2.16,-1.73,8.05,8.51
0.839,-3.27,-1.40,7.71,8.50
0.849,-5.64,-1.30,7.85,9.75
0.859,-7.54,0.19,6.14,9.73
0.869,-9.44,2.20,4.32,10.61
0.879,-11.14,3.84,3.83,12.39
0.889,-11.42,4.42,3.43,12.72
0.899,-9.15,5.30,3.07,11.01
0.909,-6.30,6.46,1.78,9.19
0.919,-4.27,7.84,0.31,8.93
0.929,-3.29,8.28,-0.69,8.93
0.939,-3.06,8.34,-1.09,8.95
0.949,-3.11,8.12,-0.90,8.74
0.959,-1.95,8.60,0.60,8.84
0.969,0.89,9.57,0.90,9.66
0.980,4.80,9.95,-0.58,11.06
0.990,8.66,11.05,-2.01,14.18
0.999,9.29,12.06,-3.98,15.73
1.010,8.98,10.92,-5.80,15.28
1.020,9.15,10.85,-7.53,16.07
1.029,8.59,9.36,-6.91,14.46
1.039,7.86,6.08,-6.71,11.99
1.048,7.72,4.03,-7.07,11.22
1.058,7.64,3.27,-7.37,11.11
1.068,7.64,3.97,-7.11,11.17
1.079,7.95,5.85,-6.99,12.09
1.088,8.20,6.60,-6.78,12.52
1.099,8.47,5.15,-4.94,11.07
1.109,8.97,0.79,-3.18,9.55
1.118,9.14,-6.11,-1.98,11.17
1.128,7.77,-7.38,-0.14,10.72
1.138,5.59,-8.22,-1.26,10.02
1.149,5.25,-8.25,-4.05,10.58
1.158,4.59,-5.80,-0.58,7.41
1.169,4.13,-4.70,0.49,6.27
1.178,4.42,-5.27,2.71,7.40
1.188,4.18,-7.02,3.98,9.09
1.198,4.02,-7.30,4.95,9.69
1.208,3.75,-6.90,5.95,9.85
1.218,2.52,-6.24,5.89,8.94
1.228,0.85,-4.65,2.88,5.54
1.238,-0.89,-2.05,-1.59,2.74
1.248,-2.03,0.01,-3.47,4.02
1.258,-2.13,-0.01,-2.36,3.18
1.268,-0.97,-0.98,-1.27,1.88
1.278,-0.26,-1.96,-0.23,1.99
1.288,-0.41,-2.55,0.84,2.72
1.298,0.14,-2.25,1.42,2.67
1.308,0.02,-2.50,4.09,4.79
1.318,-0.35,-3.11,5.16,6.04
1.328,0.10,-3.14,2.71,4.15
1.338,0.38,-1.90,0.09,1.94
1.348,0.15,-0.85,-2.94,3.06
1.358,1.25,0.69,-4.29,4.52
1.368,2.96,1.55,-4.45,5.56
1.378,3.61,0.19,-5.01,6.18
1.388,3.28,-0.32,-2.18,3.95
1.398,2.91,-0.86,0.33,3.05
1.408,3.95,-1.25,-0.03,4.14
1.418,5.01,-1.48,1.03,5.32
1.428,5.23,-1.46,0.78,5.49
1.438,4.29,-1.79,-0.30,4.66
1.448,3.20,0.27,-0.41,3.24
1.458,4.89,4.25,-3.18,7.21
1.468,7.08,5.63,-4.72,10.21
1.478,8.35,5.51,-3.87,10.73
1.488,7.43,5.45,-2.06,9.45
1.498,5.84,5.05,-0.39,7.73
1.508,3.80,4.65,1.76,6.26
1.518,0.59,3.71,2.12,4.32
1.528,-2.82,2.86,1.75,4.39
1.538,-4.86,3.05,0.40,5.75
1.548,-4.39,2.62,-0.78,5.17
1.558,-2.20,1.34,-0.83,2.70
1.568,0.48,-0.14,-0.76,0.91
1.578,2.44,-1.07,-0.45,2.70
1.588,4.02,-1.76,-0.27,4.39
1.598,5.11,-2.93,1.49,6.08
1.608,5.59,-3.50,1.66,6.80
1.618,3.80,-4.05,-0.35,5.56
