time,ax,ay,az,atotal
0.000,-0.78,-0.44,-0.50,1.03
0.010,-0.27,-0.42,-0.50,0.71
0.020,0.11,-0.51,-0.83,0.98
0.030,0.57,-0.38,-1.16,1.34
0.040,0.94,-0.22,-1.28,1.60
0.050,1.04,0.01,-1.01,1.45
0.060,0.62,0.35,-0.21,0.74
0.070,-0.01,0.24,0.73,0.77
0.080,-0.19,0.21,0.61,0.67
0.090,-0.19,0.43,-0.06,0.47
0.100,-0.33,-0.18,0.36,0.52
0.110,-0.33,-0.37,0.62,0.79
0.120,-0.04,-0.63,0.95,1.14
0.130,0.06,-0.83,1.49,1.70
0.140,-0.32,-0.80,2.53,2.67
0.150,-0.91,-0.96,3.51,3.75
0.160,-1.60,-1.39,4.36,4.85
0.170,-1.89,-2.28,4.18,5.12
0.180,-1.77,-3.10,3.74,5.17
0.190,-1.45,-3.65,3.75,5.43
0.200,-1.17,-3.73,3.37,5.16
0.210,-0.79,-3.27,3.11,4.58
0.220,-0.31,-2.69,2.42,3.63
0.230,0.25,-2.43,1.72,2.99
0.240,0.89,-2.51,1.08,2.87
0.249,1.52,-2.15,0.21,2.64
0.260,1.62,-0.35,0.15,1.67
0.270,1.04,0.32,0.10,1.09
0.280,0.77,3.23,-0.16,3.32
0.290,0.90,1.70,-1.10,2.21
0.300,0.85,0.23,-0.86,1.23
0.309,0.65,-0.71,-0.26,1.00
0.319,0.40,-1.53,0.17,1.59
0.329,0.16,-1.90,-0.11,1.91
0.339,-0.16,-2.79,-1.89,3.37
0.349,-0.42,-4.40,-3.28,5.51
0.359,-0.16,-4.84,-2.93,5.66
0.369,-0.51,-3.91,-1.47,4.21
0.380,-1.20,-2.81,0.10,3.06
0.390,-0.95,-1.35,1.70,2.37
0.399,0.10,1.45,2.13,2.58
0.409,0.63,5.23,1.58,5.50
0.419,-0.54,4.70,0.53,4.76
0.430,-1.67,1.61,0.31,2.34
0.439,-1.46,-0.28,-0.14,1.50
0.449,-1.18,-0.68,0.52,1.45
0.459,-1.22,-0.57,0.75,1.54
0.469,-0.92,-0.90,0.25,1.31
0.480,-0.19,-0.15,-0.08,0.25
0.489,0.48,0.64,-0.27,0.84
0.499,1.03,1.20,-0.00,1.58
0.509,0.31,1.05,0.64,1.27
0.519,-0.68,-0.68,-0.39,1.04
0.529,-1.36,-0.82,-2.24,2.75
0.539,-1.53,0.45,1.44,2.15
0.549,-1.08,0.74,0.98,1.64
0.559,-1.45,0.89,1.91,2.56
0.569,-1.90,0.44,3.89,4.35
0.580,-2.37,-0.28,5.34,5.85
0.589,-2.69,-0.73,6.10,6.71
0.599,-2.42,-0.66,5.74,6.27
0.609,-2.33,-0.75,6.49,6.94
0.619,-2.13,-0.78,6.63,7.01
0.629,-1.66,0.20,5.00,5.27
0.639,-2.38,2.34,4.60,5.68
0.649,-4.39,4.37,4.21,7.49
0.659,-6.56,5.94,4.43,9.90
0.669,-7.66,6.77,5.06,11.40
0.679,-7.73,6.34,5.05,11.20
0.689,-7.43,6.01,3.59,10.20
0.699,-6.81,6.52,2.57,9.77
0.709,-5.85,6.95,1.49,9.21
0.719,-4.97,7.44,-0.43,8.96
0.729,-4.74,7.98,-1.78,9.45
0.739,-4.71,7.71,-3.25,9.61
0.749,-4.72,7.17,-3.76,9.37
0.759,-3.58,6.70,-2.94,8.15
0.769,-1.95,5.76,-3.10,6.82
0.779,-0.30,4.91,-3.80,6.22
0.789,1.49,4.47,-4.41,6.45
0.799,2.60,3.81,-5.09,6.87
0.809,3.78,3.21,-5.78,7.61
0.819,5.44,2.83,-6.08,8.63
0.829,7.35,3.16,-6.13,10.08
0.839,7.02,1.39,-7.62,10.46
0.849,5.74,-0.80,-5.66,8.10
0.858,5.53,-1.48,-5.46,7.91
0.869,5.51,-0.75,-7.77,9.56
0.879,5.97,1.48,-9.69,11.48
0.889,6.14,3.16,-10.43,12.51
0.899,6.40,4.06,-10.19,12.70
0.908,7.11,4.00,-9.80,12.75
0.919,7.17,2.67,-8.19,11.20
0.929,7.31,1.78,-5.96,9.60
0.939,7.98,1.56,-4.08,9.10
0.949,8.38,1.04,-3.11,9.00
0.958,8.52,0.54,-2.79,8.98
0.969,9.04,0.14,-2.25,9.31
0.979,9.48,0.02,-3.78,10.21
0.988,9.32,0.98,-2.64,9.74
0.998,9.23,1.89,-0.90,9.47
1.008,9.16,1.85,-0.28,9.35
1.018,8.47,-0.65,6.20,10.52
1.028,6.22,-9.17,0.65,11.10
1.038,5.62,-10.83,2.91,12.55
1.048,5.99,-5.47,5.82,9.99
1.058,5.01,-1.43,7.31,8.97
1.068,3.70,0.42,6.82,7.77
1.078,1.43,0.58,6.18,6.37
1.088,0.70,3.94,4.42,5.96
1.098,0.97,5.96,0.99,6.11
1.108,-0.33,3.87,1.64,4.22
1.118,-1.28,2.02,2.30,3.31
1.128,-1.70,0.64,0.48,1.88
1.138,-2.32,-0.27,-1.52,2.79
1.148,-1.86,0.42,-2.68,3.29
1.158,-0.77,0.75,-3.54,3.70
1.168,-0.88,-0.74,-2.37,2.63
1.178,-0.14,-3.48,-0.98,3.62
1.188,1.88,-4.47,-2.22,5.33
1.198,3.21,-2.86,-3.52,5.55
1.208,2.29,-4.01,-3.46,5.77
1.218,0.86,-5.14,-2.78,5.91
1.228,0.40,-4.58,-2.89,5.43
